Id,Agency,Posting_Type,Nr_of_Positions,Classification,Job_Category,FullPart_Time,Career_Level,Salary_From,Salary_To,Salary_Frequency,Work_Location,Work_Unit,Posting_Date,Posting_Updated,Salary_Index,ACR
465164,DEPARTMENT OF CORRECTION,External,2,Competitive-1,Constituent Services & Community Programs Legal Affairs Social Services,NA,Experienced (non-manager),47418,54531,Annual,75-20 Astoria Blvd,Adult Offender Pgms.,06/04/2021,03/25/2022,NA,DOC
546753,DEPT OF PARKS & RECREATION,Internal,1,Competitive-1,"Technology, Data & Innovation",F,Experienced (non-manager),75000,75000,Annual,Randalls Island 5-Boro Shops,Telecommunications,08/19/2022,10/12/2022,15.592515592515593,DEPT OF PARKS & RECREATION
563090,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Competitive-1,"Health Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),45722,45722,Annual,22 Cortlandt Street,Pest Control Services,12/22/2022,12/22/2022,9.505613305613306,DOHMH
564955,DEPT OF ENVIRONMENT PROTECTION,External,1,Competitive-1,"Engineering, Architecture, & Planning",F,Experienced (non-manager),90114,122168,Annual,"3701 Jerome Ave, Bx NY 10467",Croton Filtration Plant,12/20/2022,01/03/2023,22.066735966735965,DOEP
569503,DEPARTMENT OF BUILDINGS,Internal,2,Non-Competitive-5,"Legal Affairs Public Safety, Inspections, & Enforcement",NA,Experienced (non-manager),71423,82137,Annual,"22 Reade St, Ny",Special Operations/OSE,01/13/2023,01/13/2023,NA,DEPARTMENT OF BUILDINGS
567011,HUMAN RIGHTS COMMISSION,Internal,1,Competitive-1,"Constituent Services & Community Programs Policy, Research & Analysis",F,Experienced (non-manager),58449,67216,Annual,"22 Reade St, Ny",Law Enforc.Bureau Executive,01/03/2023,01/03/2023,13.062889812889813,HUMAN RIGHTS COMMISSION
546631,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,"Technology, Data & Innovation Social Services",F,Experienced (non-manager),92194,106023,Annual,15 Metrotech,Mgmt Information System-NM,08/17/2022,08/24/2022,20.604677754677756,HDOSS
531571,POLICE DEPARTMENT,Internal,1,Competitive-1,Administration & Human Resources,F,Experienced (non-manager),43929,57093,Annual,"1 Police Plaza, N.Y.",Laten Print Sect Civ & Cadet,05/09/2022,05/10/2022,10.5012474012474,POLICE DEPARTMENT
553393,DEPT OF YOUTH & COMM DEV SRVS,Internal,10,Non-Competitive-5,Constituent Services & Community Programs,F,Entry-Level,15.45,17.65,Hourly,"2 Lafayette St., N.Y.","Work, Learn & Grow",10/28/2022,10/28/2022,16.549999999999997,DEPT OF YOUTH & COMM DEV SRVS
553899,HRA/DEPT OF SOCIAL SERVICES,Internal,1,Competitive-1,Administration & Human Resources Social Services,F,Experienced (non-manager),58695,67499,Annual,470 Vanderbilt Ave,MAP MEDICAID ELIGIBILITY NM,10/03/2022,10/03/2022,13.117879417879418,HDOSS
540858,DEPT OF CITYWIDE ADMIN SVCS,Internal,1,Non-Competitive-5,"Engineering, Architecture, & Planning",F,Experienced (non-manager),84468,97138,Annual,"1 Centre St., N.Y.",Office of Energy Conservatio,12/27/2022,12/27/2022,18.877962577962577,DEPT OF CITYWIDE ADMIN SVCS
